ledger_row_id,provider,model,pareto_score,quality_component,cost_component,latency_component,blended_cost_usd_per_mtok,runtime_latency_ms,runtime_quality_score,benchmark_quality_score,runtime_source_path
13,google,gemini-3-pro-thinking-high,48.245614,0.964912,0.0,0.0,,,,0.964912,
30,codex,gpt-5,45.756372,0.824561,0.150943,0.0,5.625,,,0.824561,
2,claude,claude-opus-4-5,40.350877,0.807018,0.0,0.0,,,,0.807018,
4,claude,claude-sonnet-4-5,34.578947,0.631579,0.1,0.0,9.0,,,0.631579,
3,claude,claude-opus-4-6-thinking-max,29.824561,0.596491,0.0,0.0,,,,0.596491,
50,minimax,minimax-m2-5,25.438596,0.508772,0.0,0.0,,,,0.508772,
12,google,gemini-3-flash-thinking,21.052632,0.421053,0.0,0.0,,,,0.421053,
49,minimax,minimax-m2-1,21.052632,0.421053,0.0,0.0,,,,0.421053,
9,google,gemini-2-5-flash-thinking,20.175439,0.403509,0.0,0.0,,,,0.403509,
6,deepseek,deepseek-v3-2,19.298246,0.385965,0.0,0.0,,,,0.385965,
10,google,gemini-2-5-pro-thinking,19.298246,0.385965,0.0,0.0,,,,0.385965,
46,kimi,kimi-k2-5,18.421053,0.368421,0.0,0.0,,,,0.368421,
51,qwen,qwen-3-5-397b,18.421053,0.368421,0.0,0.0,,,,0.368421,
26,codex,gpt-5,16.809004,0.245614,0.150943,0.0,5.625,,,0.245614,
11,google,gemini-3-1-pro-thinking-high,16.666667,0.333333,0.0,0.0,,,,0.333333,
54,qwen,qwen-3-max-thinking,16.666667,0.333333,0.0,0.0,,,,0.333333,
5,claude,claude-sonnet-4-6-thinking-max,14.035088,0.280702,0.0,0.0,,,,0.280702,
15,zhipu,glm-4-7,14.035088,0.280702,0.0,0.0,,,,0.280702,
17,zhipu,glm-5,14.035088,0.280702,0.0,0.0,,,,0.280702,
45,xai,grok-4-1-fast-reasoning,10.526316,0.210526,0.0,0.0,,,,0.210526,
47,kimi,kimi-k2-thinking,9.649123,0.192982,0.0,0.0,,,,0.192982,
7,deepseek,deepseek-v3-2-speciale,7.894737,0.157895,0.0,0.0,,,,0.157895,
48,minimax,minimax-m2,5.263158,0.105263,0.0,0.0,,,,0.105263,
19,codex,gpt-5,4.528302,0.0,0.150943,0.0,5.625,,,0.0,
20,codex,gpt-5,4.528302,0.0,0.150943,0.0,5.625,,,0.0,
21,codex,gpt-5,4.528302,0.0,0.150943,0.0,5.625,,,0.0,
22,codex,gpt-5,4.528302,0.0,0.150943,0.0,5.625,,,0.0,
23,codex,gpt-5,4.528302,0.0,0.150943,0.0,5.625,,,0.0,
24,codex,gpt-5,4.528302,0.0,0.150943,0.0,5.625,,,0.0,
25,codex,gpt-5,4.528302,0.0,0.150943,0.0,5.625,,,0.0,
27,codex,gpt-5,4.528302,0.0,0.150943,0.0,5.625,,,0.0,
28,codex,gpt-5,4.528302,0.0,0.150943,0.0,5.625,,,0.0,
29,codex,gpt-5,4.528302,0.0,0.150943,0.0,5.625,,,0.0,
31,codex,gpt-5,4.528302,0.0,0.150943,0.0,5.625,,,0.0,
32,codex,gpt-5,4.528302,0.0,0.150943,0.0,5.625,,,0.0,
33,codex,gpt-5,4.528302,0.0,0.150943,0.0,5.625,,,0.0,
34,codex,gpt-5,4.528302,0.0,0.150943,0.0,5.625,,,0.0,
35,codex,gpt-5,4.528302,0.0,0.150943,0.0,5.625,,,0.0,
36,codex,gpt-5,4.528302,0.0,0.150943,0.0,5.625,,,0.0,
37,codex,gpt-5,4.528302,0.0,0.150943,0.0,5.625,,,0.0,
38,codex,gpt-5,4.528302,0.0,0.150943,0.0,5.625,,,0.0,
39,codex,gpt-5,4.528302,0.0,0.150943,0.0,5.625,,,0.0,
40,codex,gpt-5,4.528302,0.0,0.150943,0.0,5.625,,,0.0,
41,codex,gpt-5,4.528302,0.0,0.150943,0.0,5.625,,,0.0,
42,codex,gpt-5,4.528302,0.0,0.150943,0.0,5.625,,,0.0,
43,codex,gpt-5,4.528302,0.0,0.150943,0.0,5.625,,,0.0,
56,stepfun,step-3-5-flash,2.631579,0.052632,0.0,0.0,,,,0.052632,
18,codex,gpt-4-1,1.754386,0.035088,0.0,0.0,,,,0.035088,
52,qwen,qwen-3-5-plus,1.754386,0.035088,0.0,0.0,,,,0.035088,
55,qwen,qwen-3-vl,1.754386,0.035088,0.0,0.0,,,,0.035088,
53,qwen,qwen-3-base,0.877193,0.017544,0.0,0.0,,,,0.017544,
16,zhipu,glm-4-7-flash,0.877193,0.017544,0.0,0.0,,,,0.017544,
1,claude,claude-haiku-4-5,0.0,0.0,0.0,0.0,,,,0.0,
44,codex,gpt-oss-120b,0.0,0.0,0.0,0.0,,,,0.0,
8,mistral,devstral-2,0.0,0.0,0.0,0.0,,,,0.0,
14,zhipu,glm-4-5,0.0,0.0,0.0,0.0,,,,0.0,
